N.data,max.segs,case,package,seconds_median,seconds_min,seconds_max,seconds_timings,computed.ends,valid.ends,loss,computed.N
16384,8192,worst,binsegRcpp.multiset,4.6699868,4.5917789,5.5283347,5,,,11891.3655217312,8192
16384,8192,worst,changepoint,86.0691241,85.5182486,88.6278366,5,,,,8192
32768,16384,flat,binsegRcpp.list,0.2042315,0.1927253,0.2121294,5,,,10231.222574012,14431
32768,16384,flat,binsegRcpp.multiset,0.1698619,0.1361856,0.303436,5,,,10231.222574012,14431
32768,16384,flat,blockcpd,62.4089424,61.7376712,72.336994,5,,,10231.222574012,14431
32768,16384,flat,changepoint,656.8584561,654.2079521,706.2340811,5,,,,16384
32768,16384,best,binsegRcpp.list,0.5243717,0.4826521,0.6077565,5,,,23782.7310434624,16384
32768,16384,best,binsegRcpp.multiset,0.0504106,0.0405891,0.2075058,5,,,23782.7310434624,16384
32768,16384,best,blockcpd,19.7294947,18.6258819,24.5875639,5,,,23832.753335366,16367
32768,16384,best,changepoint,687.4087701,666.5253239,689.8718986,5,,,,16384
32768,16384,best,ruptures,68.0003509,57.9495358,257.8286348,5,,,50151.7618007827,8192
32768,16384,worst,binsegRcpp.list,18.4012469,18.2512701,18.6410441,5,,,23782.7310434624,16384
32768,16384,worst,binsegRcpp.multiset,18.2567173,18.1464269,18.4453682,5,,,23782.7310434624,16384
32768,16384,worst,changepoint,661.6709093,656.6605044,686.7318721,5,,,,16384
65536,32768,flat,binsegRcpp.list,0.8019784,0.7871433,0.8056498,5,,,20336.6312482697,28872
65536,32768,flat,binsegRcpp.multiset,0.3125147,0.3015558,0.3211937,5,,,20336.6312482697,28872
65536,32768,flat,blockcpd,166.3593891,164.7251802,170.5269713,5,,,20336.6312482697,28872
65536,32768,best,binsegRcpp.list,1.8832498,1.8334417,1.9382383,5,,,47565.4620869249,32768
65536,32768,best,binsegRcpp.multiset,0.0874729,0.0826606,0.0943664,5,,,47565.4620869249,32768
65536,32768,best,blockcpd,37.4521912,37.1886562,38.1263496,5,,,47718.4714503947,32716
65536,32768,best,ruptures,179.4181268,174.9532645,197.1733567,5,,,100303.523601565,16384
65536,32768,worst,binsegRcpp.list,75.2899671,73.09808,75.5449822,5,,,47565.4620869249,32768
65536,32768,worst,binsegRcpp.multiset,75.4791795,72.5210561,76.1303351,5,,,47565.4620869249,32768
131072,65536,flat,binsegRcpp.list,2.9623369,2.9030865,2.9666903,5,,,39709.0542030609,57730
131072,65536,flat,binsegRcpp.multiset,0.7890354,0.7692654,0.7989382,5,,,39709.0542030609,57730
131072,65536,best,binsegRcpp.list,7.4620064,7.4116409,7.5612081,5,,,95130.9241738497,65536
131072,65536,best,binsegRcpp.multiset,0.1775475,0.1764812,0.18819,5,,,95130.9241738497,65536
131072,65536,best,blockcpd,78.2245005,77.700618,79.1343388,5,,,95486.9651926929,65415
131072,65536,worst,binsegRcpp.list,297.6109334,292.0903555,309.3589085,5,,,95130.9241738497,65536
131072,65536,worst,binsegRcpp.multiset,294.1012943,291.9838265,310.6459037,5,,,95130.9241738497,65536
262144,131072,flat,binsegRcpp.list,11.1111257,10.9801292,11.2636037,5,,,78506.287029476,115486
262144,131072,flat,binsegRcpp.multiset,1.8622164,1.8393603,1.9395502,5,,,78506.287029476,115486
262144,131072,best,binsegRcpp.list,30.8995877,30.5446448,38.0205827,5,,,190261.848347699,131072
262144,131072,best,binsegRcpp.multiset,0.3887002,0.3619654,0.4137034,5,,,190261.848347699,131072
262144,131072,best,blockcpd,160.6112121,159.5196397,185.0449531,5,,,190932.735556759,130844
524288,262144,flat,binsegRcpp.list,41.94786,41.7109709,42.7574749,5,,,156405.280074875,230915
524288,262144,flat,binsegRcpp.multiset,3.8804843,3.8398004,3.9179776,5,,,156405.280074875,230915
524288,262144,best,binsegRcpp.list,6.8487145,6.7407099,6.9881296,5,,,1212137.33813817,62540
524288,262144,best,binsegRcpp.multiset,0.6477689,0.6399339,0.6683274,5,,,1212137.33813817,62540
1048576,524288,flat,binsegRcpp.list,176.1952765,174.2200359,201.2967801,5,,,312691.868242487,461855
1048576,524288,flat,binsegRcpp.multiset,11.052125,11.0052117,11.2782886,5,,,312691.868242487,461855
1048576,524288,best,binsegRcpp.list,3.0533348,3.0026209,3.3102787,5,,,3818629.21026024,32768
1048576,524288,best,binsegRcpp.multiset,1.2311673,1.2098697,1.2612844,5,,,3818629.21026024,32768
