profile.id,chromosome,N.data,max.segments,sum.splits,max.depth
107,20,75,10,311,5
107,20,75,N.data,518,11
107,21,38,10,203,6
107,21,38,N.data,249,11
107,22,70,10,372,6
107,22,70,N.data,533,13
107,3,152,10,938,7
107,3,152,N.data,1554,20
107,4,106,10,582,6
107,4,106,N.data,926,15
107,5,161,10,766,7
107,5,161,N.data,1606,18
107,6,126,10,600,7
107,6,126,N.data,985,15
107,7,95,10,437,5
107,7,95,N.data,679,14
107,8,98,10,550,9
107,8,98,N.data,795,15
107,9,104,10,481,6
107,9,104,N.data,805,17
107,X,75,10,417,7
107,X,75,N.data,625,14
107,Y,12,10,37,5
107,Y,12,N.data,38,6
108,1,406,10,1950,6
108,1,406,N.data,5109,28
108,10,117,10,566,5
108,10,117,N.data,986,16
108,11,141,10,618,6
108,11,141,N.data,1122,16
108,12,173,10,830,5
108,12,173,N.data,1741,18
108,13,79,10,249,6
108,13,79,N.data,564,16
108,14,74,10,406,6
108,14,74,N.data,664,18
108,15,72,10,411,6
108,15,72,N.data,582,14
108,16,72,10,350,5
108,16,72,N.data,508,13
108,17,153,10,709,5
108,17,153,N.data,1225,14
108,18,70,10,355,8
108,18,70,N.data,539,16
108,19,43,10,169,6
108,19,43,N.data,242,11
108,2,214,10,998,7
108,2,214,N.data,2327,23
108,20,81,10,332,6
108,20,81,N.data,514,11
108,21,43,10,228,6
108,21,43,N.data,309,12
108,22,75,10,486,8
108,22,75,N.data,662,15
108,3,175,10,792,6
108,3,175,N.data,2094,24
108,4,146,10,708,6
108,4,146,N.data,1450,18
108,5,184,10,865,5
108,5,184,N.data,1945,20
108,6,141,10,809,7
108,6,141,N.data,1380,16
108,7,107,10,500,5
108,7,107,N.data,839,15
108,8,110,10,571,8
108,8,110,N.data,964,18
108,9,109,10,527,6
108,9,109,N.data,828,14
108,X,111,10,602,6
108,X,111,N.data,995,15
108,Y,11,10,42,6
108,Y,11,N.data,42,7
109,1,649,10,2547,4
109,1,649,N.data,8974,31
109,10,233,10,1357,6
109,10,233,N.data,2767,21
109,11,234,10,1755,7
109,11,234,N.data,3923,29
109,12,290,10,1311,4
109,12,290,N.data,3182,23
109,13,157,10,783,6
109,13,157,N.data,1526,16
109,14,154,10,766,5
109,14,154,N.data,1610,20
109,15,134,10,714,8
109,15,134,N.data,1272,17
109,16,149,10,896,7
109,16,149,N.data,1458,16
109,17,247,10,1122,6
109,17,247,N.data,2200,17
109,18,126,10,630,6
109,18,126,N.data,1101,17
109,19,95,10,365,6
109,19,95,N.data,718,15
109,2,411,10,1678,7
109,2,411,N.data,4731,21
109,20,138,10,622,5
109,20,138,N.data,1067,16
109,21,69,10,321,5
109,21,69,N.data,661,19
109,22,99,10,455,6
109,22,99,N.data,794,15
109,3,390,10,2391,7
109,3,390,N.data,5364,24
109,4,319,10,1238,6
109,4,319,N.data,3342,20
109,5,302,10,2166,7
109,5,302,N.data,4264,25
109,6,274,10,1447,9
109,6,274,N.data,3227,24
109,7,231,10,1029,5
109,7,231,N.data,2094,20
109,8,297,10,1258,4
109,8,297,N.data,3093,21
109,9,194,10,768,6
109,9,194,N.data,1986,20
109,X,224,10,1050,6
109,X,224,N.data,2063,15
109,Y,42,10,155,4
109,Y,42,N.data,245,12
11,1,494,10,1942,4
11,1,494,N.data,4979,18
11,10,154,10,725,7
11,10,154,N.data,1560,21
11,11,161,10,854,6
11,11,161,N.data,1516,19
11,12,211,10,882,5
11,12,211,N.data,2696,22
11,13,100,10,446,4
11,13,100,N.data,787,13
11,14,102,10,473,5
11,14,102,N.data,945,17
11,15,90,10,532,8
11,15,90,N.data,882,19
11,16,92,10,502,7
11,16,92,N.data,793,16
11,17,177,10,991,7
11,17,177,N.data,1686,17
11,18,85,10,399,6
11,18,85,N.data,629,15
11,19,59,10,372,8
11,19,59,N.data,515,16
11,2,281,10,1420,6
11,2,281,N.data,2916,18
11,20,92,10,443,5
11,20,92,N.data,748,15
11,21,44,10,247,6
11,21,44,N.data,338,14
11,22,80,10,380,5
11,22,80,N.data,531,11
11,3,215,10,956,5
11,3,215,N.data,1838,16
11,4,176,10,547,5
11,4,176,N.data,1709,19
11,5,208,10,821,7
11,5,208,N.data,2041,20
11,6,175,10,712,4
11,6,175,N.data,1599,20
11,7,140,10,796,6
11,7,140,N.data,1360,19
11,8,137,10,593,7
11,8,137,N.data,1179,14
11,9,128,10,646,7
11,9,128,N.data,1028,14
11,X,127,10,628,6
11,X,127,N.data,1171,18
11,Y,21,10,77,5
11,Y,21,N.data,84,7
110,1,437,10,1447,5
110,1,437,N.data,5264,29
110,10,133,10,606,5
110,10,133,N.data,1290,18
110,11,147,10,930,8
110,11,147,N.data,1508,18
110,12,194,10,919,5
110,12,194,N.data,2019,19
110,13,88,10,368,5
110,13,88,N.data,754,18
110,14,74,10,319,5
110,14,74,N.data,516,11
110,15,84,10,417,6
110,15,84,N.data,646,12
110,16,75,10,419,7
110,16,75,N.data,545,12
110,17,155,10,623,5
110,17,155,N.data,1217,13
110,18,76,10,294,6
110,18,76,N.data,511,11
110,19,46,10,257,6
110,19,46,N.data,343,14
110,2,247,10,1121,5
110,2,247,N.data,2540,22
110,20,89,10,459,7
110,20,89,N.data,736,14
110,21,44,10,199,6
110,21,44,N.data,298,12
110,22,75,10,297,4
110,22,75,N.data,608,15
110,3,185,10,991,5
110,3,185,N.data,2013,25
110,4,156,10,728,5
110,4,156,N.data,1510,17
110,5,194,10,840,8
110,5,194,N.data,1678,17
110,6,148,10,810,7
110,6,148,N.data,1411,17
110,7,115,10,466,4
110,7,115,N.data,882,16
110,8,124,10,765,7
110,8,124,N.data,1308,20
110,9,121,10,598,6
110,9,121,N.data,1247,19
110,X,118,10,401,7
110,X,118,N.data,1081,21
110,Y,12,10,38,5
110,Y,12,N.data,38,6
111,1,647,10,2954,5
111,1,647,N.data,8221,28
111,10,231,10,1079,5
111,10,231,N.data,2283,17
111,11,231,10,1051,6
111,11,231,N.data,2102,15
111,12,292,10,1210,5
111,12,292,N.data,3113,20
111,13,155,10,634,5
111,13,155,N.data,1352,15
111,14,152,10,700,4
111,14,152,N.data,1499,19
111,15,136,10,591,7
111,15,136,N.data,1046,15
111,16,150,10,786,6
111,16,150,N.data,1375,15
111,17,247,10,1061,4
111,17,247,N.data,2283,18
111,18,127,10,560,4
111,18,127,N.data,967,13
111,19,93,10,408,6
